Model,Test MSE,Test R2,Test MAE,CV R2,Time
Polynomial Ridge (alpha=1.0),2853.8344498576207,0.46135282919054754,42.369233913572714,0.32504740150423833,1.1330039501190186
Polynomial Ridge (GridSearch),3086.3426480545377,0.4174680540400404,44.34357900871193,0.3767732095023074,0.1353299617767334
"SVR (C=1.0, eps=0.2)",3382.663139192341,0.36153902346428,45.639825722976745,0.35952503588150275,0.03136396408081055
SVR (GridSearch),3382.663139192341,0.36153902346428,45.639825722976745,0.3400890667562762,0.2739529609680176
Lasso,3290.655455476392,0.3789050197745424,46.45579679890209,0.36728277317042246,0.015165328979492188
XGBoost,3771.9302285716403,0.28806678109442196,48.85421598627326,0.284555079600069,0.4089944362640381
LightGBM,3882.480730575178,0.26720091932772383,50.59541383746328,0.2963136588016926,0.15769171714782715
Neural Network,3983.061048389451,0.24821688063112846,49.13214621921725,0.17187405709638712,1.1814498901367188
Stacking Ensemble,3337.749131705791,0.3700163207593462,47.8031294194382,0.35181220617333087,0.6108570098876953
